Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35391324,Points of Impact (Frontlines #6),Marko Kloos,"Kloos, Marko",,,,0,4.21,47North,Kindle Edition,297,2018,2018,,12/11/2017,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
25648897,"Chains of Command (Frontlines, #4)",Marko Kloos,"Kloos, Marko",,,,4,4.26,47North,Kindle Edition,386,2016,2016,12/11/2017,12/11/2017,,,read,,,,1,,,0,,,,,
24358527,"Angles of Attack (Frontlines, #3)",Marko Kloos,"Kloos, Marko",,,,4,4.09,47North,Kindle Edition,352,2015,2015,12/11/2017,12/11/2017,,,read,,,,1,,,0,,,,,
18800655,Terms of Enlistment (Frontlines #1),Marko Kloos,"Kloos, Marko",,,,3,3.97,47North,Kindle Edition,347,2013,2013,12/11/2017,12/11/2017,,,read,,,,1,,,0,,,,,
18476102,"Lines of Departure (Frontlines, #2)",Marko Kloos,"Kloos, Marko",,1477817409,9781477817407,4,4.08,47North,Paperback,315,2014,2014,12/11/2017,12/11/2017,,,read,,,,1,,,0,,,,,
18584855,Heartless,Marissa Meyer,"Meyer, Marissa",,1250044650,9781250044655,4,4.06,Feiwel & Friends,Hardcover,453,2016,2016,08/11/2017,08/11/2017,,,read,,,,1,,,0,,,,,
23308087,"Flame in the Mist (Flame in the Mist, #1)",Renee Ahdieh,"Ahdieh, Renee",,0399171630,9780399171635,3,3.96,G.P. Putnam's Sons Books for Young Readers,Hardcover,393,2017,2017,03/11/2017,08/08/2017,,,read,,,,2,,,0,,,,,
28209634,Autonomous,Annalee Newitz,"Newitz, Annalee",,0765392070,9780765392077,4,3.64,Tor Books,Hardcover,303,2017,2017,29/10/2017,30/10/2017,,,read,,,,1,,,0,,,,,
34942741,The Consuming Fire (The Interdependency #2),John Scalzi,"Scalzi, John",,,,0,3.83,Tor Books,Kindle Edition,336,2018,2018,,10/10/2017,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
18947303,"Traitor's Blade (Greatcoats, #1)",Sebastien de Castell,"Castell, Sebastien de",,184866379X,9781848663794,0,4.07,Jo Fletcher Books,Hardcover,370,2014,2014,,10/10/2017,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
29217027,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,0425285928,9780425285923,0,4.42,Del Rey,ebook,624,2018,2018,,10/10/2017,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
33375622,Her Body and Other Parties,Carmen Maria Machado,"Machado, Carmen Maria",,155597788X,9781555977887,0,3.94,Graywolf Press,Paperback,248,2017,2017,,29/09/2017,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
13138734,"This Shattered World (Starbound, #2)",Amie Kaufman,"Kaufman, Amie",Meagan Spooner,1423171039,9781423171034,3,3.98,Disney-Hyperion,Hardcover,390,2014,2014,24/09/2017,24/09/2017,,,read,,,,1,,,0,,,,,
21853636,All the Rage,Courtney Summers,"Summers, Courtney",,125002191X,9781250021915,4,3.84,St. Martin's Griffin,Hardcover,321,2015,2015,21/09/2017,21/09/2017,,,read,,,,1,,,0,,,,,
35530652,"Grey Sister (Book of the Ancestor, #2)",Mark  Lawrence,"Lawrence, Mark",,0008152349,9780008152345,0,4.69,Ace,Hardcover,400,2018,2018,,21/09/2017,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
33129035,"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence,"Lawrence, Mark",,,,5,4.31,Harper Voyager,Kindle Edition,472,2017,2017,15/09/2017,28/03/2017,,,read,,,,1,,,0,,,,,
68452,"Pani Jeziora (Saga o Wiedźminie, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",,8370541291,9788370541293,3,4.27,superNOWA,Paperback,520,2001,1999,14/09/2017,14/09/2017,,,read,,,,1,,,0,,,,,
68455,"Wieża Jaskółki (Saga o Wiedźminie, #6)",Andrzej Sapkowski,"Sapkowski, Andrzej",,8370541240,9788370541248,4,4.33,superNOWA,Paperback,428,2001,1997,14/09/2017,14/09/2017,,,read,,,,1,,,0,,,,,
1876770,"Chrzest ognia (Saga o Wiedźminie, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",,,,3,4.36,SuperNOWA,Paperback,334,1996,1992,14/09/2017,14/09/2017,,,read,,,,1,,,0,,,,,
68453,"Czas pogardy (Saga o Wiedźminie, #4)",Andrzej Sapkowski,"Sapkowski, Andrzej",,8370540910,9788370540913,4,4.31,superNOWA,Paperback,319,1995,1995,03/09/2017,03/09/2017,,,read,,,,1,,,0,,,,,
